name,hebrewName,imageUrl,copies,gameTime,company,minPlayer,maxPlayer
Mr. Jack,מר גאק,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/EMVEbNvm38lZHe6Jw12f7CnCiPY%3D/0x0/pic3066125.jpg",1,30,Hurrican Games,2,2
VivaJava: The Coffee Game,יחי הקפה: משחק הקפה,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/sXcTLHIkg--39cz7YUjJcA__original/img/9lvu7ONA8m7gTc0VBaNL9iuqQFM%3D/0x0/filters:format(jpeg)/pic4486030.jpg",1,90,Dice Hate Me Studio,3,8
Concept,קונספט,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/http://cf.geekdo-images.com/images/pic1907628.jpg",1,40,Repos Production,4,12
Chronicles of Crime: 1900,דברי ימי הפשע: 1900,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/FsPSnsTZoBvYvnAUw5emMw__original/img/_s1c8--oD62U-NiaWydoDVn71iw%3D/0x0/filters:format(jpeg)/pic5240838.jpg",1,90, Lucky Duck Games,1,4
Chronicles of Crime,דברי ימי הפשע: 1900,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/JRE8PpskKmoIQ3R5WZZUOy7nQLw%3D/0x0/pic4317519.jpg",1,90, Lucky Duck Games,1,4
FLUXX,פלאקס,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/http://cf.geekdo-images.com/images/pic2405641.jpg",1,30,Looney Labs,2,6
Call to Adventure,קריאה להרפתקה,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/k7qLNolF6-2bllZ-EPFNxi_qn_c%3D/0x0/pic4165094.jpg",1,60,Brotherwise Games,1,4
Call to Adventure: Name of the Wind,קריאה להרפתקה: הרחבת שם הרוח,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/_77Sff8sUKEhwxQrreu_1iiKfYA%3D/0x0/pic4472994.jpg",1,60,Brotherwise Games,2,4
H.I.D.E.: Hidden Identity Dice Espionage,זהות חבויה,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/GLfUfvCO74QB4nDfL-84uA__original/img/vLGZ7oha1kBIPlofrpBbbkwI4MU%3D/0x0/filters:format(jpeg)/pic3407521.jpg",1,30,Mayday,3,5
Parade,מצעד,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/r48PWXw3pmXUNg8eHAaD692YxMc%3D/0x0/pic2239001.jpg",1,45,Z-Man Games,2,6
Illusion,אשליה,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/lmxft59_lVYHVka8LG6CSOkp5vk%3D/0x0/pic3979771.png",1,15,PANDASAURUS GAMES,2,5
Castle Panic,פאניקה בטירה,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/0ooRjDgVyvoMN_rzCHbiDw__imagepage/img/6Q0a0Qf-8LMTSpV3O4JxiXESpPs%3D/fit-in/900x600/filters:no_upscale():strip_icc()/pic496923.jpg",1,60,Fireside Games,1,6
Shit Happens,שייט האפנס- דברים קורים,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/S9e4xx2bslDtU_wnM1IIIX1NzNI%3D/0x0/pic3303204.jpg",1,60,Goliath B.V.,2,8
Chocolate Factory,מפעל השוקולד,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/v9W6KtkBOA8wNp5iSjj8iVlm-Sg%3D/0x0/pic4287283.jpg",1,90,Alley Cat Games,1,4
Colors of Paris,הצבעים של פאריז,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/F1NZxXonllJLIaMjRSgiQjpi988%3D/0x0/pic4804321.jpg",1,60,Super Meeple,2,4
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,שרלוק הולמס: בייקר סטרייט,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/YeiM_2S8HadyjVI-VgkzS7UY2_A%3D/0x0/pic5198810.jpg",1,90,Space Cowboys,1,8
Sherlock Holmes: Consulting Detective – Carlton House & Queen's Park,שרלוק הולמס: קארלטון האוס,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/images/pic3693453.png",1,90,Asmodee,1,8
Pivot,פיבוט,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/xMfJon3aju3EL3fHRGUQeEoIYQs%3D/0x0/pic4451889.jpg",1,15,,2,2
Kitara,קיטארה,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/imagepagezoom/img/-17mEtSJ5kEbQj1K0t5X6PY9v2w%3D/fit-in/1200x900/filters:no_upscale()/pic5335779.png",1,30,Iello,2,4
7 Wonders,7 הפלאים,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/fwzG7OfzA35y7b3S7dHn9Q__imagepagezoom/img/Rvc1eoM_URsv7sLcqofjY9JqCRw%3D/fit-in/1200x900/filters:no_upscale():strip_icc()/pic5652537.jpg",2,30,Repos Production,2,7
Santorini: New York, סנטוריני: ניו-יורק,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/fcp8jiHHELBu0gysThUCvA__original/img/ccuCv2A3KxaNlsjLPoLQYugVXtQ%3D/0x0/pic5562971.png",1,30,Roxley,2,5
Super Farmer,סופר פארמר,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/http://cf.geekdo-images.com/images/pic1802593.jpg",1,20,Grenna,2,6
Azul,אזול,"https://res.cloudinary.com/thekingdom/image/fetch/c_limit,f_jpg,h_555,q_auto,w_555/https://cf.geekdo-images.com/original/img/9-SR48jyfxs4At6255sjHoly2sw%3D/0x0/pic3718275.jpg",1,45,BrainGo,2,4
